Country,gas_reserves,gas_production,oil_reserves,total_manpower,active_military,aircraft,foreign_reserves,external_debt
Turkiye,3794000000000000.0,379701000000000,366000000,42985080,355200,1083,,
Turkmenistan,1.1327e+19,86472000000000000,600000000,2768681,36500,91,,
Uganda,1.4158e+16,0,2500000000,16756234,45000,51,,
Ukraine,1.104e+18,18725000000000000,395000000,18187531,900000,324,,
United Arab Emirates,6091000000000000.0,56683000000000000,97800000000,5818684,65000,551,,
United Kingdom,1.80661e+17,37758000000000000,2500000000,31491165,184860,631,,
United States,1.3402e+19,1029000000000000000,38212000000,150463900,1328000,13043,,
Uruguay,0.0,0,0,1575652,25000,43,,
Uzbekistan,1.841e+18,47500000000000000,594000000,18990708,48000,192,,
Venezuela,5.674e+18,17696000000000000,303806000000,15625153,109000,229,,
Vietnam,6.99426e+17,7676000000000000,4400000000,54994667,600000,246,,
Yemen,4.78555e+17,189432000000000,3000000000,12213368,66700,84,,
Zambia,0.0,0,0,7279691,15150,77,,
Zimbabwe,0.0,0,0,6517134,29000,95,,
