Country,Population,GDP,GDP Growth,GDP Per Capita,Unemployment,Population Growth Rate,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fertility Rate,Median Age,Urban Pop %,World Share,Age Structure (0-14),Age Structure (15-64),Age Structure (65+),GDP (PPP),GDP Growth Rate,GDP (Official Exchange Rate),Inflation Rate,GDP Composition - Agriculture,GDP Composition - Industry,GDP Composition - Services,Life Expectancy (both),Life Expectancy (female),Life Expectancy (male),Catholic,Protestant,Jewish,Muslim,Hindu,Buddhist,Orthodox,Other/None
Papua New Guinea,10576502.0,30932496249.7917,2.68101048379781,2994.4533269188,2.651,1.82993546980529,1.8,186867.0,23.0,452860.0,-707.0,3.1,23.0,12.0,0.13,,,,,,,,,,,66.26,69.21,63.84,0,0,0,0,0,0,0,0
Poland,38539201.0,811229100687.566,0.160586011025046,44100.0,2.905,-0.369758116260503,-0.58,-223643.0,126.0,306230.0,-238062.0,1.3,42.0,59.0,0.47,14.2,65.9,19.8,1.616,0.16,811.229,11.53,2.9,28.7,58.8,78.81,82.49,75.1,84.6,0,0,0,0,0,0,0
Puerto Rico,3242204.0,117902300000,0.563519426800866,43000.0,5.962,-0.448878435008411,0.01,181.0,366.0,8870.0,11561.0,0.9,45.0,,0.04,12.5,62.6,24.9,137.828,0.56,117.902,,0.7,49.1,50.6,81.9,85.38,78.28,56.0,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",26160821,,,,3.004,0.35000834215513,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Portugal,10425292.0,287080013574.497,2.26125478073125,41700.0,6.491,1.10479001213844,-0.05,-5446.0,114.0,91590.0,20648.0,1.5,47.0,66.0,0.13,12.7,65.0,22.3,439.008,2.26,287.08,4.31,2.0,18.0,67.0,82.55,85.25,79.68,79.7,0,0,0,0,0,0,0
Paraguay,6929153.0,42956263543.9482,4.71412407945468,15700.0,5.779,1.18427440537002,1.24,85007.0,17.0,397300.0,-12451.0,2.4,27.0,68.0,0.08,22.2,68.4,9.4,108.022,4.71,42.956,4.63,11.3,32.4,49.0,73.98,77.09,71.01,80.4,0,0,0,0,0,0,0
"Palestine, State of",5165775,17396300000,-5.50879437160218,3367.60699023864,,2.39326476511584,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
French Polynesia,281807.0,,,,11.724,0.843050034136393,0.25,689.0,77.0,3660.0,-1261.0,1.5,35.0,66.0,0.0,20.3,68.7,11.0,,,5.815,,2.3,10.7,76.2,84.19,86.62,81.9,54.0,0,0,0,0,0,0,0
Qatar,3048423.0,,,,0.13,0.786068869030495,2.33,69341.0,263.0,11610.0,46105.0,1.7,34.0,97.0,0.04,13.1,85.4,1.5,,,235.77,3.03,0.3,65.4,38.5,82.52,83.48,81.78,0,0,65.2,0,0,0,0,0
Réunion,878591.0,,,,,,0.42,3708.0,351.0,2500.0,-2931.0,2.2,38.0,,0.01,,,,,,,,,,,83.67,86.45,80.67,0,0,0,0,0,0,0,0
Romania,19015088.0,351002579629.67,2.14847699574527,40500.0,5.595,0.047801854432771,-0.54,-103391.0,83.0,230170.0,-28466.0,1.7,43.0,55.0,0.23,15.4,62.0,22.6,772.107,2.15,351.003,10.4,3.9,27.6,59.8,76.09,79.68,72.56,85.3,0,0,0,0,0,0,0
Russian Federation,143826130,2021421476035.42,3.60000000000001,13817.0458984375,3.325,-0.285217600763343,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Rwanda,14256567.0,14097768647.6695,8.24128696506683,3000.0,14.932,2.28190198384881,2.16,302096.0,578.0,24670.0,-15582.0,3.6,20.0,18.0,0.17,37.2,59.7,3.1,42.701,8.24,14.098,19.79,27.1,21.5,44.3,68.02,70.14,65.71,95.9,0,0,0,0,0,0,0
Saudi Arabia,33962757.0,1067582933333.33,-0.754914810584665,49600.0,4.88,1.46740769611431,2.1,698465.0,16.0,2149690.0,122170.0,2.3,30.0,92.0,0.42,22.9,72.7,4.4,1.831,-0.75,1.068,2.33,2.7,47.0,44.9,78.98,81.33,77.33,90.0,0,0,0,0,0,0,0
Sudan,50448963.0,109327023588.732,-12.0467791968043,2800.0,11.449,2.6001891699622,0.81,406172.0,29.0,1765048.0,-544257.0,4.3,18.0,35.0,0.62,40.1,56.7,3.2,136.039,-12.05,109.327,,5.6,5.2,7.6,66.52,69.83,63.45,0,0,0,0,0,0,0,0
Senegal,18501984.0,31013986429.1861,3.69999636052071,4400.0,2.93,2.54699595340171,2.35,424411.0,96.0,192530.0,-10307.0,3.8,19.0,52.0,0.23,40.7,55.9,3.4,77.382,3.7,31.014,,16.4,23.7,50.8,68.92,71.01,67.01,97.2,0,0,0,0,0,0,0
Singapore,5832387.0,501427500080.059,1.07503175095101,127500.0,3.472,4.85831607781442,0.75,43297.0,8332.0,700.0,20011.0,1.0,36.0,,0.07,14.6,71.1,14.3,754.758,1.08,501.428,4.82,0.0,22.4,72.4,83.86,86.36,81.38,0,0,0,31.1,0,0,0,0
Solomon Islands,819198.0,1631286701.11516,2.95008536339103,2700.0,1.545,2.20546019496427,2.4,19193.0,29.0,27990.0,1610.0,3.5,20.0,23.0,0.01,30.6,64.2,5.3,2.025,2.95,1.631,5.89,33.8,18.7,47.3,70.69,72.18,69.36,73.4,0,0,0,0,0,0,0
Sierra Leone,8642022.0,3809832236.95959,3.43082135607435,1700.0,3.174,2.13120700196935,2.15,181510.0,120.0,72180.0,-11000.0,3.7,19.0,45.0,0.11,40.1,57.4,2.5,14.633,3.43,3.81,47.64,64.4,7.8,24.7,61.96,63.7,60.23,0,0,0,77.1,0,0,0,0
El Salvador,6338193.0,34015620000,3.51097706608982,11300.0,2.758,0.449575546018594,0.45,28569.0,306.0,20720.0,-23102.0,1.8,27.0,79.0,0.08,25.3,66.3,8.4,71.957,3.51,34.016,4.05,4.6,25.0,59.8,72.3,76.49,67.76,43.9,0,0,0,0,0,0,0
San Marino,33581.0,,,,,-0.053490239306932,-0.45,-152.0,560.0,60.0,37.0,1.2,48.0,100.0,0.0,14.2,64.3,21.5,,,1.855,,0.0,36.6,56.5,,,,0,0,0,0,0,0,0,0
Somalia,19009151.0,11679800110.1523,3.1029619961507,1500.0,19.027,3.05481740638644,3.54,650536.0,30.0,627340.0,26859.0,6.0,16.0,46.0,0.23,41.4,55.8,2.8,26.351,3.1,11.68,,,,,58.97,61.55,56.49,0,0,0,99.9,0,0,0,0
Serbia,6736216.0,75187125426.7375,2.52779333573876,24500.0,8.683,-0.699014137453456,-0.55,-36985.0,77.0,87460.0,-8132.0,1.5,44.0,73.0,0.08,14.4,65.6,20.0,162.213,2.53,75.187,12.37,5.2,26.4,51.2,76.94,80.18,73.68,84.6,0,0,0,0,0,0,0
South Sudan,11943408.0,,,,12.271,1.59654622262538,4.01,460034.0,20.0,610952.0,15374.0,3.8,18.0,27.0,0.15,42.1,55.3,2.6,,,11.998,2.38,10.4,33.1,56.6,57.74,60.75,54.76,0,0,0,60.5,0,0,0,0
Sao Tome and Principe,231856,603240748.954207,-0.4744429516048,5500.0,14.208,1.94938626026079,,,,,,,,,,36.4,60.3,3.2,1.267,-0.47,603.241,21.26,13.9,4.4,79.0,,,,55.7,0,0,0,0,0,0,0
Suriname,634431.0,3782437296.04323,2.07545911217966,19000.0,7.704,0.837207897304605,0.88,5545.0,4.0,156000.0,-1166.0,2.2,28.0,62.0,0.01,22.5,70.0,7.5,11.824,2.08,3.782,,8.1,44.8,44.7,73.76,76.98,70.6,23.6,0,0,0,0,0,0,0
Slovakia,5506760.0,132793622283.071,1.59645497115139,39300.0,5.84,-0.0923148510113108,-0.2,-11295.0,115.0,48088.0,-21027.0,1.6,42.0,54.0,0.07,15.3,66.5,18.1,213.053,1.6,132.794,10.53,2.0,32.7,56.5,78.49,81.71,75.21,55.8,0,0,0,0,0,0,0
Slovenia,2118697.0,68216781410.5228,1.58689938286867,48100.0,3.627,0.422923513694067,0.01,301.0,105.0,20140.0,3319.0,1.6,44.0,55.0,0.03,14.3,62.5,23.2,102.036,1.59,68.217,7.45,1.9,29.1,57.8,81.78,84.47,79.11,69.0,0,0,0,0,0,0,0
Sweden,10606999.0,593267701033.408,-0.196170994604543,64200.0,7.587,0.472717863265105,0.53,55505.0,26.0,410340.0,50115.0,1.4,40.0,87.0,0.13,17.1,62.1,20.8,676.353,-0.2,593.268,8.55,1.6,22.8,65.3,83.42,85.22,81.65,53.9,0,0,0,0,0,0,0
Eswatini,1242822.0,4597855845.04276,4.84232085252165,3797.30120946164,37.636,0.758721181538574,1.0,12316.0,72.0,17200.0,-6754.0,2.7,22.0,31.0,0.02,,,,,,,,,,,64.26,67.11,61.32,0,0,0,0,0,0,0,0
Sint Maarten (Dutch part),41163,1623165683.12849,3.40000000000001,39432.6381247356,,0.670317314116942,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
